LAMMPS data file via DiffCG

1000 atoms
1 atom types

0.000000 3.089900 xlo xhi
0.000000 3.089900 ylo yhi
0.000000 3.089900 zlo zhi

Masses

1 18.0153

Atoms # full

1 1 1 0.0000 2.908020 2.991640 1.785070
2 1 1 0.0000 2.786070 2.448700 2.629690
3 1 1 0.0000 0.775476 2.169000 2.006960
4 1 1 0.0000 2.053820 0.073770 2.547800
5 1 1 0.0000 0.256767 1.589810 0.885725
6 1 1 0.0000 1.835950 3.043650 2.323420
7 1 1 0.0000 1.745190 1.807330 1.634360
8 1 1 0.0000 1.482030 1.785730 0.963526
9 1 1 0.0000 1.425690 1.781970 1.617410
10 1 1 0.0000 1.025200 2.850850 0.134770
11 1 1 0.0000 0.297804 0.241781 2.385500
12 1 1 0.0000 2.642320 0.406453 2.556690
13 1 1 0.0000 2.462220 0.041410 2.568110
14 1 1 0.0000 0.920923 2.056760 2.933040
15 1 1 0.0000 2.183840 1.148870 1.499610
16 1 1 0.0000 2.745420 2.900980 1.170550
17 1 1 0.0000 1.262880 1.514980 2.897570
18 1 1 0.0000 0.492067 1.143800 1.759150
19 1 1 0.0000 2.052720 2.679800 1.297850
20 1 1 0.0000 0.305661 1.980070 0.756261
21 1 1 0.0000 1.843710 1.316010 1.034940
22 1 1 0.0000 2.408810 2.778780 0.054750
23 1 1 0.0000 2.491970 0.970277 0.597942
24 1 1 0.0000 1.594840 2.323920 0.656989
25 1 1 0.0000 2.378890 2.898640 1.812990
26 1 1 0.0000 0.695225 3.069500 2.564040
27 1 1 0.0000 2.339530 0.708773 1.726550
28 1 1 0.0000 0.490357 1.559970 1.447680
29 1 1 0.0000 1.452370 0.700057 2.909980
30 1 1 0.0000 1.408960 1.507950 1.017550
31 1 1 0.0000 0.687800 0.940174 0.111730
32 1 1 0.0000 0.112700 3.063650 0.020190
33 1 1 0.0000 2.065590 0.331799 1.338230
34 1 1 0.0000 0.460586 1.841330 1.669290
35 1 1 0.0000 2.357370 2.737780 1.121330
36 1 1 0.0000 0.123980 2.425830 2.537120
37 1 1 0.0000 1.476400 1.281170 2.918450
38 1 1 0.0000 1.019620 0.191535 1.014260
39 1 1 0.0000 1.314110 2.273990 2.470680
40 1 1 0.0000 0.125890 0.727687 0.847223
41 1 1 0.0000 1.888070 0.629748 2.082120
42 1 1 0.0000 0.908305 1.020900 2.037140
43 1 1 0.0000 0.210292 2.961550 1.722700
44 1 1 0.0000 0.913880 2.060320 2.378620
45 1 1 0.0000 1.662570 1.173870 1.238330
46 1 1 0.0000 0.121030 2.554700 1.624510
47 1 1 0.0000 2.816430 1.205100 2.183810
48 1 1 0.0000 0.634433 0.601353 0.650822
49 1 1 0.0000 2.417090 1.206540 2.946480
50 1 1 0.0000 2.596360 2.475550 0.847525
51 1 1 0.0000 0.794654 0.644029 1.632820
52 1 1 0.0000 0.676396 2.546330 0.742874
53 1 1 0.0000 0.338425 1.534270 1.704130
54 1 1 0.0000 2.823620 2.232050 0.491230
55 1 1 0.0000 0.840326 1.464510 0.834629
56 1 1 0.0000 2.686000 2.838050 2.016630
57 1 1 0.0000 1.325910 0.457084 2.823430
58 1 1 0.0000 1.168080 0.690604 1.509860
59 1 1 0.0000 3.005480 2.332520 2.935640
60 1 1 0.0000 0.422938 2.886270 0.105260
61 1 1 0.0000 1.039460 2.777370 1.140840
62 1 1 0.0000 1.237590 1.655760 0.150030
63 1 1 0.0000 2.867840 0.821885 0.194386
64 1 1 0.0000 2.554130 2.900880 0.901140
65 1 1 0.0000 0.979219 0.050850 3.088700
66 1 1 0.0000 2.799410 0.119860 1.049050
67 1 1 0.0000 0.686572 2.840520 1.628340
68 1 1 0.0000 1.490710 2.969670 2.064800
69 1 1 0.0000 0.715241 0.827084 0.497941
70 1 1 0.0000 0.706188 0.340532 1.912380
71 1 1 0.0000 1.307890 0.221857 2.447120
72 1 1 0.0000 2.031810 1.421330 0.095810
73 1 1 0.0000 2.349700 2.391250 3.026290
74 1 1 0.0000 2.275570 2.408400 0.354827
75 1 1 0.0000 0.606034 2.532550 1.783950
76 1 1 0.0000 2.825670 1.629240 0.508608
77 1 1 0.0000 1.986410 2.608390 1.716970
78 1 1 0.0000 2.953640 0.635504 0.549279
79 1 1 0.0000 3.061410 1.705510 1.983780
80 1 1 0.0000 0.259203 2.281670 1.077030
81 1 1 0.0000 0.945933 0.849610 0.799434
82 1 1 0.0000 0.126600 0.845535 2.035830
83 1 1 0.0000 2.954330 1.551690 3.054900
84 1 1 0.0000 1.969450 1.226480 2.858540
85 1 1 0.0000 2.489620 2.581470 0.281404
86 1 1 0.0000 2.178810 1.583320 1.416900
87 1 1 0.0000 1.661540 2.032880 2.686590
88 1 1 0.0000 0.029760 1.020130 2.721560
89 1 1 0.0000 2.177340 0.567518 3.086820
90 1 1 0.0000 0.880513 1.888740 1.402890
91 1 1 0.0000 1.940980 0.272709 0.070520
92 1 1 0.0000 0.282681 2.388980 0.779886
93 1 1 0.0000 1.190530 1.850430 0.558720
94 1 1 0.0000 1.308160 0.980263 1.067160
95 1 1 0.0000 1.715190 2.078510 0.053570
96 1 1 0.0000 0.232109 1.316740 0.392670
97 1 1 0.0000 2.579920 1.715620 2.279620
98 1 1 0.0000 0.329084 0.949099 0.920766
99 1 1 0.0000 1.526370 2.800810 0.116350
100 1 1 0.0000 2.496400 1.509120 2.993390
101 1 1 0.0000 1.284210 0.235738 1.162310
102 1 1 0.0000 1.028090 2.512860 1.978910
103 1 1 0.0000 0.045990 0.913017 0.161234
104 1 1 0.0000 1.543830 2.070380 2.419840
105 1 1 0.0000 0.288963 1.457040 2.746100
106 1 1 0.0000 0.846387 1.030970 1.691480
107 1 1 0.0000 2.326940 0.395228 0.141880
108 1 1 0.0000 1.504480 1.076290 2.741740
109 1 1 0.0000 1.188610 1.806830 1.424920
110 1 1 0.0000 1.915850 1.481200 1.649920
111 1 1 0.0000 2.520180 1.982130 1.646370
112 1 1 0.0000 2.580120 2.443380 2.394170
113 1 1 0.0000 2.370950 2.653760 0.556094
114 1 1 0.0000 2.636470 1.507670 0.675172
115 1 1 0.0000 1.485780 1.444480 1.768190
116 1 1 0.0000 0.204340 2.316180 0.519173
117 1 1 0.0000 1.289990 2.146340 1.902880
118 1 1 0.0000 1.666640 0.465123 1.655470
119 1 1 0.0000 0.357297 2.018390 2.601750
120 1 1 0.0000 2.692850 1.289220 2.494410
121 1 1 0.0000 0.416739 1.781920 1.953970
122 1 1 0.0000 0.250588 2.694900 2.447660
123 1 1 0.0000 0.204175 3.029260 2.570750
